,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
26045,1998,1998-01-05,1,hewitt_l.,stoltenberg_j.,31,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-hewitt_l.,1998-01-05-stoltenberg_j.,550,43,79,617
26046,1998,1998-01-05,2,stoltenberg_j.,woodbridge_t.,17,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-stoltenberg_j.,1998-01-05-woodbridge_t.,79,617,26,1319
26047,1998,1998-01-05,2,hewitt_l.,agassi_a.,26,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-hewitt_l.,1998-01-05-agassi_a.,550,43,110,442
26048,1998,1998-01-05,3,woodbridge_t.,golmard_j.,28,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-woodbridge_t.,1998-01-05-golmard_j.,26,1319,115,429
26049,1998,1998-01-05,3,agassi_a.,steven_b.,21,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-agassi_a.,1998-01-05-steven_b.,110,442,50,817
26050,1998,1998-01-05,3,hewitt_l.,spadea_v.,28,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-hewitt_l.,1998-01-05-spadea_v.,550,43,88,536
26051,1998,1998-01-05,3,stoltenberg_j.,escude_n.,32,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-stoltenberg_j.,1998-01-05-escude_n.,79,617,93,521
26052,1998,1998-01-05,4,stoltenberg_j.,bjorkman_j.,19,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-stoltenberg_j.,1998-01-05-bjorkman_j.,79,617,4,2949
26053,1998,1998-01-05,4,steven_b.,kuerten_g.,18,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-steven_b.,1998-01-05-kuerten_g.,50,817,14,2215
26054,1998,1998-01-05,4,golmard_j.,norman_m.,16,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-golmard_j.,1998-01-05-norman_m.,115,429,22,1450
26055,1998,1998-01-05,4,woodbridge_t.,knippschild_j.,31,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-woodbridge_t.,1998-01-05-knippschild_j.,26,1319,105,475
26056,1998,1998-01-05,4,escude_n.,johansson_t.,30,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-escude_n.,1998-01-05-johansson_t.,93,521,39,959
26057,1998,1998-01-05,4,agassi_a.,siemerink_j.,19,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-agassi_a.,1998-01-05-siemerink_j.,110,442,78,622
26058,1998,1998-01-05,4,hewitt_l.,woodforde_m.,30,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-hewitt_l.,1998-01-05-woodforde_m.,550,43,46,866
26059,1998,1998-01-05,4,spadea_v.,dosedel_s.,15,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-spadea_v.,1998-01-05-dosedel_s.,88,536,43,899
26060,1998,1998-01-05,5,bjorkman_j.,stafford_g.,18,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-bjorkman_j.,1998-01-05-stafford_g.,4,2949,74,649
26061,1998,1998-01-05,5,kuerten_g.,carlsen_k.,25,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-kuerten_g.,1998-01-05-carlsen_k.,14,2215,75,640
26062,1998,1998-01-05,5,woodforde_m.,courier_j.,20,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-woodforde_m.,1998-01-05-courier_j.,46,866,21,1528
26063,1998,1998-01-05,5,norman_m.,ruud_c.,26,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-norman_m.,1998-01-05-ruud_c.,22,1450,65,708
26064,1998,1998-01-05,5,woodbridge_t.,damm_m.,31,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-woodbridge_t.,1998-01-05-damm_m.,26,1319,61,718
26065,1998,1998-01-05,5,spadea_v.,kiefer_n.,29,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-spadea_v.,1998-01-05-kiefer_n.,88,536,32,1209
26066,1998,1998-01-05,5,johansson_t.,black_b.,21,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-johansson_t.,1998-01-05-black_b.,39,959,76,633
26067,1998,1998-01-05,5,siemerink_j.,hrbaty_d.,31,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-siemerink_j.,1998-01-05-hrbaty_d.,78,622,40,952
26068,1998,1998-01-05,5,agassi_a.,sargsian_s.,28,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-agassi_a.,1998-01-05-sargsian_s.,110,442,69,669
26069,1998,1998-01-05,5,dosedel_s.,gaudenzi_a.,25,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-dosedel_s.,1998-01-05-gaudenzi_a.,43,899,57,739
26070,1998,1998-01-05,5,escude_n.,radulescu_a.,18,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-escude_n.,1998-01-05-radulescu_a.,93,521,71,665
26071,1998,1998-01-05,5,golmard_j.,dier_d.,19,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-golmard_j.,1998-01-05-dier_d.,115,429,162,282
26072,1998,1998-01-05,5,hewitt_l.,draper_s.,20,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-hewitt_l.,1998-01-05-draper_s.,550,43,58,735
26073,1998,1998-01-05,5,knippschild_j.,fromberg_r.,30,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-knippschild_j.,1998-01-05-fromberg_r.,105,475,77,631
26074,1998,1998-01-05,5,steven_b.,roux_l.,18,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-steven_b.,1998-01-05-roux_l.,50,817,60,721
26075,1998,1998-01-05,5,stoltenberg_j.,antonio marin_j.,17,Outdoor,Hard,32,1998-adelaide-hard,1998-01-05-stoltenberg_j.,1998-01-05-antoniomarin_j.,79,617,,
26076,1998,1998-01-05,1,korda_p.,santoro_f.,15,Outdoor,Hard,32,1998-doha-hard,1998-01-05-korda_p.,1998-01-05-santoro_f.,13,2261,29,1267
26077,1998,1998-01-05,2,korda_p.,medvedev_a.,19,Outdoor,Hard,32,1998-doha-hard,1998-01-05-korda_p.,1998-01-05-medvedev_a.,13,2261,27,1314
26078,1998,1998-01-05,2,santoro_f.,ivanisevic_g.,17,Outdoor,Hard,32,1998-doha-hard,1998-01-05-santoro_f.,1998-01-05-ivanisevic_g.,29,1267,15,2176
26079,1998,1998-01-05,3,santoro_f.,rusedski_g.,26,Outdoor,Hard,32,1998-doha-hard,1998-01-05-santoro_f.,1998-01-05-rusedski_g.,29,1267,6,2617
26080,1998,1998-01-05,3,korda_p.,henman_t.,32,Outdoor,Hard,32,1998-doha-hard,1998-01-05-korda_p.,1998-01-05-henman_t.,13,2261,17,1929
26081,1998,1998-01-05,3,ivanisevic_g.,karbacher_b.,35,Outdoor,Hard,32,1998-doha-hard,1998-01-05-ivanisevic_g.,1998-01-05-karbacher_b.,15,2176,217,196
26082,1998,1998-01-05,3,medvedev_a.,schalken_s.,30,Outdoor,Hard,32,1998-doha-hard,1998-01-05-medvedev_a.,1998-01-05-schalken_s.,27,1314,59,725
26083,1998,1998-01-05,4,rusedski_g.,alami_k.,20,Outdoor,Hard,32,1998-doha-hard,1998-01-05-rusedski_g.,1998-01-05-alami_k.,6,2617,55,748
26084,1998,1998-01-05,4,korda_p.,burgsmuller_l.,17,Outdoor,Hard,32,1998-doha-hard,1998-01-05-korda_p.,1998-01-05-burgsmuller_l.,13,2261,165,279
26085,1998,1998-01-05,4,ivanisevic_g.,rosset_m.,37,Outdoor,Hard,32,1998-doha-hard,1998-01-05-ivanisevic_g.,1998-01-05-rosset_m.,15,2176,31,1222
26086,1998,1998-01-05,4,henman_t.,raoux_g.,22,Outdoor,Hard,32,1998-doha-hard,1998-01-05-henman_t.,1998-01-05-raoux_g.,17,1929,47,861
26087,1998,1998-01-05,4,karbacher_b.,larsson_m.,0,Outdoor,Hard,32,1998-doha-hard,1998-01-05-karbacher_b.,1998-01-05-larsson_m.,217,196,25,1376
26088,1998,1998-01-05,4,medvedev_a.,tarango_j.,28,Outdoor,Hard,32,1998-doha-hard,1998-01-05-medvedev_a.,1998-01-05-tarango_j.,27,1314,49,843
26089,1998,1998-01-05,4,santoro_f.,sinner_m.,19,Outdoor,Hard,32,1998-doha-hard,1998-01-05-santoro_f.,1998-01-05-sinner_m.,29,1267,123,373
26090,1998,1998-01-05,4,schalken_s.,costa_c.,33,Outdoor,Hard,32,1998-doha-hard,1998-01-05-schalken_s.,1998-01-05-costa_c.,59,725,56,739
26091,1998,1998-01-05,5,rusedski_g.,albert viloca-puig_j.,20,Outdoor,Hard,32,1998-doha-hard,1998-01-05-rusedski_g.,1998-01-05-albertviloca-puig_j.,6,2617,,
