,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
42164,2003,2003-01-06,1,kuerten_g.,hrbaty_d.,21,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-kuerten_g.,2003-01-06-hrbaty_d.,37,935,51,726
42165,2003,2003-01-06,2,kuerten_g.,zabaleta_m.,18,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-kuerten_g.,2003-01-06-zabaleta_m.,37,935,48,736
42166,2003,2003-01-06,2,hrbaty_d.,mantilla_f.,16,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-hrbaty_d.,2003-01-06-mantilla_f.,51,726,77,520
42167,2003,2003-01-06,3,mantilla_f.,novak_j.,34,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-mantilla_f.,2003-01-06-novak_j.,77,520,7,2331
42168,2003,2003-01-06,3,kuerten_g.,coria_g.,30,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-kuerten_g.,2003-01-06-coria_g.,37,935,45,778
42169,2003,2003-01-06,3,hrbaty_d.,ferrer_d.,21,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-hrbaty_d.,2003-01-06-ferrer_d.,51,726,58,663
42170,2003,2003-01-06,3,zabaleta_m.,koubek_s.,15,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-zabaleta_m.,2003-01-06-koubek_s.,48,736,40,920
42171,2003,2003-01-06,4,novak_j.,ginepri_r.,29,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-novak_j.,2003-01-06-ginepri_r.,7,2331,102,392
42172,2003,2003-01-06,4,ferrer_d.,gonzalez_f.,19,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-ferrer_d.,2003-01-06-gonzalez_f.,58,663,17,1636
42173,2003,2003-01-06,4,kuerten_g.,russell_m.,28,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-kuerten_g.,2003-01-06-russell_m.,37,935,159,234
42174,2003,2003-01-06,4,hrbaty_d.,gambill_j.,35,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-hrbaty_d.,2003-01-06-gambill_j.,51,726,,
42175,2003,2003-01-06,4,coria_g.,vicente_f.,16,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-coria_g.,2003-01-06-vicente_f.,45,778,57,671
42176,2003,2003-01-06,4,koubek_s.,sluiter_r.,25,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-koubek_s.,2003-01-06-sluiter_r.,40,920,72,558
42177,2003,2003-01-06,4,mantilla_f.,carlsen_k.,20,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-mantilla_f.,2003-01-06-carlsen_k.,77,520,64,611
42178,2003,2003-01-06,4,zabaleta_m.,spadea_v.,19,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-zabaleta_m.,2003-01-06-spadea_v.,48,736,67,591
42179,2003,2003-01-06,5,novak_j.,kendrick_r.,17,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-novak_j.,2003-01-06-kendrick_r.,7,2331,176,208
42180,2003,2003-01-06,5,zabaleta_m.,nalbandian_d.,30,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-zabaleta_m.,2003-01-06-nalbandian_d.,48,736,12,1775
42181,2003,2003-01-06,5,gonzalez_f.,lopez_f.,30,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-gonzalez_f.,2003-01-06-lopez_f.,17,1636,62,633
42182,2003,2003-01-06,5,kuerten_g.,verkerk_m.,23,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-kuerten_g.,2003-01-06-verkerk_m.,37,935,84,475
42183,2003,2003-01-06,5,mantilla_f.,acasuso_j.,21,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-mantilla_f.,2003-01-06-acasuso_j.,77,520,43,868
42184,2003,2003-01-06,5,gambill_j.,kratochvil_m.,16,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-gambill_j.,2003-01-06-kratochvil_m.,,,70,580
42185,2003,2003-01-06,5,coria_g.,sanchez_d.,26,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-coria_g.,2003-01-06-sanchez_d.,45,778,60,642
42186,2003,2003-01-06,5,sluiter_r.,sanguinetti_d.,18,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-sluiter_r.,2003-01-06-sanguinetti_d.,72,558,47,773
42187,2003,2003-01-06,5,carlsen_k.,sa_a.,35,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-carlsen_k.,2003-01-06-sa_a.,64,611,65,607
42188,2003,2003-01-06,5,ferrer_d.,martin_a.,17,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-ferrer_d.,2003-01-06-martin_a.,58,663,66,605
42189,2003,2003-01-06,5,ginepri_r.,calleri_a.,25,Outdoor,Hard,32,2003-auckland-hard,2003-01-06-ginepri_r.,2003-01-06-calleri_a.,102,392,50,730
