,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
63398,2009,2009-01-04,1,stepanek_r.,verdasco_f.,28,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-stepanek_r.,2009-01-04-verdasco_f.,,,,
63399,2009,2009-01-04,2,verdasco_f.,mathieu_p.,15,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-verdasco_f.,2009-01-04-mathieu_p.,,,,
63400,2009,2009-01-04,2,stepanek_r.,gasquet_r.,26,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-stepanek_r.,2009-01-04-gasquet_r.,,,,
63401,2009,2009-01-04,3,gasquet_r.,tsonga_j.,25,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-gasquet_r.,2009-01-04-tsonga_j.,,,,
63402,2009,2009-01-04,3,verdasco_f.,serra_f.,25,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-verdasco_f.,2009-01-04-serra_f.,,,,
63403,2009,2009-01-04,3,stepanek_r.,soderling_r.,27,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-stepanek_r.,2009-01-04-soderling_r.,,,,
63404,2009,2009-01-04,3,mathieu_p.,nishikori_k.,19,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-mathieu_p.,2009-01-04-nishikori_k.,,,,
63405,2009,2009-01-04,4,tsonga_j.,nieminen_j.,32,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-tsonga_j.,2009-01-04-nieminen_j.,,,,
63406,2009,2009-01-04,4,verdasco_f.,ancic_m.,17,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-verdasco_f.,2009-01-04-ancic_m.,,,,
63407,2009,2009-01-04,4,soderling_r.,benneteau_j.,18,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-soderling_r.,2009-01-04-benneteau_j.,,,,
63408,2009,2009-01-04,4,nishikori_k.,berdych_t.,22,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-nishikori_k.,2009-01-04-berdych_t.,,,,
63409,2009,2009-01-04,4,gasquet_r.,dent_t.,22,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-gasquet_r.,2009-01-04-dent_t.,,,,
63410,2009,2009-01-04,4,stepanek_r.,llodra_m.,22,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-stepanek_r.,2009-01-04-llodra_m.,,,,
63411,2009,2009-01-04,4,mathieu_p.,gulbis_e.,19,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-mathieu_p.,2009-01-04-gulbis_e.,,,,
63412,2009,2009-01-04,4,serra_f.,melzer_j.,19,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-serra_f.,2009-01-04-melzer_j.,,,,
63413,2009,2009-01-04,5,gulbis_e.,djokovic_n.,20,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-gulbis_e.,2009-01-04-djokovic_n.,,,,
63414,2009,2009-01-04,5,tsonga_j.,calleri_a.,20,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-tsonga_j.,2009-01-04-calleri_a.,,,,
63415,2009,2009-01-04,5,verdasco_f.,tomic_b.,18,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-verdasco_f.,2009-01-04-tomic_b.,,,,
63416,2009,2009-01-04,5,soderling_r.,querrey_s.,18,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-soderling_r.,2009-01-04-querrey_s.,,,,
63417,2009,2009-01-04,5,berdych_t.,klein_b.,16,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-berdych_t.,2009-01-04-klein_b.,,,,
63418,2009,2009-01-04,5,melzer_j.,fish_m.,33,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-melzer_j.,2009-01-04-fish_m.,,,,
63419,2009,2009-01-04,5,gasquet_r.,gicquel_m.,26,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-gasquet_r.,2009-01-04-gicquel_m.,,,,
63420,2009,2009-01-04,5,stepanek_r.,kunitsyn_i.,16,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-stepanek_r.,2009-01-04-kunitsyn_i.,,,,
63421,2009,2009-01-04,5,ancic_m.,delic_a.,39,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-ancic_m.,2009-01-04-delic_a.,,,,
63422,2009,2009-01-04,5,benneteau_j.,ginepri_r.,30,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-benneteau_j.,2009-01-04-ginepri_r.,,,,
63423,2009,2009-01-04,5,dent_t.,darcis_s.,21,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-dent_t.,2009-01-04-darcis_s.,,,,
63424,2009,2009-01-04,5,llodra_m.,sirianni_j.,33,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-llodra_m.,2009-01-04-sirianni_j.,,,,
63425,2009,2009-01-04,5,mathieu_p.,gabashvili_t.,18,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-mathieu_p.,2009-01-04-gabashvili_t.,,,,
63426,2009,2009-01-04,5,nieminen_j.,baghdatis_m.,29,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-nieminen_j.,2009-01-04-baghdatis_m.,,,,
63427,2009,2009-01-04,5,nishikori_k.,reynolds_b.,17,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-nishikori_k.,2009-01-04-reynolds_b.,,,,
63428,2009,2009-01-04,5,serra_f.,carlos ferrero_j.,22,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-serra_f.,2009-01-04-carlosferrero_j.,,,,
63429,2009,2009-01-04,6,gabashvili_t.,anderson_k.,23,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-gabashvili_t.,2009-01-04-anderson_k.,,,,
63430,2009,2009-01-04,6,reynolds_b.,malisse_x.,32,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-reynolds_b.,2009-01-04-malisse_x.,,,,
63431,2009,2009-01-04,6,sirianni_j.,muller_g.,25,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-sirianni_j.,2009-01-04-muller_g.,,,,
63432,2009,2009-01-04,6,delic_a.,stoppini_a.,22,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-delic_a.,2009-01-04-stoppini_a.,,,,
63433,2009,2009-01-04,7,gabashvili_t.,groth_s.,26,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-gabashvili_t.,2009-01-04-groth_s.,,,,
63434,2009,2009-01-04,7,reynolds_b.,gregorc_l.,18,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-reynolds_b.,2009-01-04-gregorc_l.,,,,
63435,2009,2009-01-04,7,sirianni_j.,zverev_m.,19,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-sirianni_j.,2009-01-04-zverev_m.,,,,
63436,2009,2009-01-04,7,stoppini_a.,bellucci_t.,19,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-stoppini_a.,2009-01-04-bellucci_t.,,,,
63437,2009,2009-01-04,7,muller_g.,kukushkin_m.,38,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-muller_g.,2009-01-04-kukushkin_m.,,,,
63438,2009,2009-01-04,7,anderson_k.,korolev_e.,20,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-anderson_k.,2009-01-04-korolev_e.,,,,
63439,2009,2009-01-04,7,delic_a.,crugnola_m.,19,Outdoor,Hard,32,2009-brisbane-hard,2009-01-04-delic_a.,2009-01-04-crugnola_m.,,,,
