,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
51094,2006,2006-01-02,1,serra_f.,malisse_x.,19,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-serra_f.,2006-01-02-malisse_x.,49,712,47,731
51095,2006,2006-01-02,2,serra_f.,hrbaty_d.,18,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-serra_f.,2006-01-02-hrbaty_d.,49,712,18,1490
51096,2006,2006-01-02,2,malisse_x.,berdych_t.,16,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-malisse_x.,2006-01-02-berdych_t.,47,731,24,1200
51097,2006,2006-01-02,3,hrbaty_d.,carlsen_k.,21,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-hrbaty_d.,2006-01-02-carlsen_k.,18,1490,66,565
51098,2006,2006-01-02,3,berdych_t.,kohlschreiber_p.,17,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-berdych_t.,2006-01-02-kohlschreiber_p.,24,1200,86,470
51099,2006,2006-01-02,3,serra_f.,nieminen_j.,31,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-serra_f.,2006-01-02-nieminen_j.,49,712,28,1045
51100,2006,2006-01-02,3,malisse_x.,seppi_a.,13,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-malisse_x.,2006-01-02-seppi_a.,47,731,68,562
51101,2006,2006-01-02,4,kohlschreiber_p.,hewitt_l.,27,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-kohlschreiber_p.,2006-01-02-hewitt_l.,86,470,4,2490
51102,2006,2006-01-02,4,hrbaty_d.,philippoussis_m.,26,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-hrbaty_d.,2006-01-02-philippoussis_m.,18,1490,172,228
51103,2006,2006-01-02,4,serra_f.,robredo_t.,31,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-serra_f.,2006-01-02-robredo_t.,49,712,19,1490
51104,2006,2006-01-02,4,malisse_x.,ancic_m.,31,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-malisse_x.,2006-01-02-ancic_m.,47,731,21,1360
51105,2006,2006-01-02,4,seppi_a.,blake_j.,28,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-seppi_a.,2006-01-02-blake_j.,68,562,23,1230
51106,2006,2006-01-02,4,berdych_t.,murray_a.,30,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-berdych_t.,2006-01-02-murray_a.,24,1200,64,571
51107,2006,2006-01-02,4,nieminen_j.,mayer_f.,25,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-nieminen_j.,2006-01-02-mayer_f.,28,1045,72,519
51108,2006,2006-01-02,4,carlsen_k.,karlovic_i.,31,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-carlsen_k.,2006-01-02-karlovic_i.,66,565,70,550
51109,2006,2006-01-02,5,hewitt_l.,hernych_j.,28,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-hewitt_l.,2006-01-02-hernych_j.,4,2490,74,515
51110,2006,2006-01-02,5,hrbaty_d.,junaid_r.,21,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-hrbaty_d.,2006-01-02-junaid_r.,18,1490,413,67
51111,2006,2006-01-02,5,robredo_t.,melzer_j.,22,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-robredo_t.,2006-01-02-melzer_j.,19,1490,52,690
51112,2006,2006-01-02,5,ancic_m.,clement_a.,14,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-ancic_m.,2006-01-02-clement_a.,21,1360,69,558
51113,2006,2006-01-02,5,blake_j.,martin_a.,18,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-blake_j.,2006-01-02-martin_a.,23,1230,50,711
51114,2006,2006-01-02,5,berdych_t.,calleri_a.,33,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-berdych_t.,2006-01-02-calleri_a.,24,1200,51,692
51115,2006,2006-01-02,5,nieminen_j.,mathieu_p.,21,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-nieminen_j.,2006-01-02-mathieu_p.,28,1045,,
51116,2006,2006-01-02,5,karlovic_i.,ignacio chela_j.,25,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-karlovic_i.,2006-01-02-ignaciochela_j.,70,550,,
51117,2006,2006-01-02,5,carlsen_k.,carraz_g.,33,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-carlsen_k.,2006-01-02-carraz_g.,66,565,167,233
51118,2006,2006-01-02,5,kohlschreiber_p.,guccione_c.,19,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-kohlschreiber_p.,2006-01-02-guccione_c.,86,470,156,265
51119,2006,2006-01-02,5,malisse_x.,luczak_p.,22,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-malisse_x.,2006-01-02-luczak_p.,47,731,146,286
51120,2006,2006-01-02,5,mayer_f.,monaco_j.,18,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-mayer_f.,2006-01-02-monaco_j.,72,519,85,477
51121,2006,2006-01-02,5,murray_a.,lorenzi_p.,23,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-murray_a.,2006-01-02-lorenzi_p.,64,571,252,138
51122,2006,2006-01-02,5,philippoussis_m.,spadea_v.,29,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-philippoussis_m.,2006-01-02-spadea_v.,172,228,75,515
51123,2006,2006-01-02,5,seppi_a.,pashanski_b.,20,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-seppi_a.,2006-01-02-pashanski_b.,68,562,82,498
51124,2006,2006-01-02,5,serra_f.,llodra_m.,13,Outdoor,Hard,32,2006-adelaide-hard,2006-01-02-serra_f.,2006-01-02-llodra_m.,49,712,137,303
51125,2006,2006-01-02,1,ljubicic_i.,moya_c.,21,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-ljubicic_i.,2006-01-02-moya_c.,9,2180,31,940
51126,2006,2006-01-02,2,ljubicic_i.,vliegen_k.,31,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-ljubicic_i.,2006-01-02-vliegen_k.,9,2180,93,442
51127,2006,2006-01-02,2,moya_c.,stepanek_r.,36,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-moya_c.,2006-01-02-stepanek_r.,31,940,20,1440
51128,2006,2006-01-02,3,ljubicic_i.,muller_g.,16,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-ljubicic_i.,2006-01-02-muller_g.,9,2180,76,506
51129,2006,2006-01-02,3,stepanek_r.,ascione_t.,19,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-stepanek_r.,2006-01-02-ascione_t.,20,1440,96,431
51130,2006,2006-01-02,3,moya_c.,phau_b.,27,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-moya_c.,2006-01-02-phau_b.,31,940,87,463
51131,2006,2006-01-02,3,vliegen_k.,srichaphan_p.,15,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-vliegen_k.,2006-01-02-srichaphan_p.,93,442,42,785
51132,2006,2006-01-02,4,ljubicic_i.,vanek_j.,27,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-ljubicic_i.,2006-01-02-vanek_j.,9,2180,99,424
51133,2006,2006-01-02,4,stepanek_r.,amritraj_p.,25,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-stepanek_r.,2006-01-02-amritraj_p.,20,1440,267,127
51134,2006,2006-01-02,4,moya_c.,gimelstob_j.,28,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-moya_c.,2006-01-02-gimelstob_j.,31,940,104,408
51135,2006,2006-01-02,4,srichaphan_p.,gicquel_m.,30,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-srichaphan_p.,2006-01-02-gicquel_m.,42,785,123,366
51136,2006,2006-01-02,4,muller_g.,bopanna_r.,19,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-muller_g.,2006-01-02-bopanna_r.,76,506,266,128
51137,2006,2006-01-02,4,vliegen_k.,schuettler_r.,18,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-vliegen_k.,2006-01-02-schuettler_r.,93,442,88,463
51138,2006,2006-01-02,4,phau_b.,berrer_m.,25,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-phau_b.,2006-01-02-berrer_m.,87,463,126,356
51139,2006,2006-01-02,4,ascione_t.,behrend_t.,17,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-ascione_t.,2006-01-02-behrend_t.,96,431,89,462
51140,2006,2006-01-02,5,ljubicic_i.,garcia-lopez_g.,25,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-ljubicic_i.,2006-01-02-garcia-lopez_g.,9,2180,,
51141,2006,2006-01-02,5,stepanek_r.,navarro_i.,23,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-stepanek_r.,2006-01-02-navarro_i.,20,1440,139,301
51142,2006,2006-01-02,5,moya_c.,norman_d.,26,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-moya_c.,2006-01-02-norman_d.,31,940,108,404
51143,2006,2006-01-02,5,srichaphan_p.,delgado_r.,30,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-srichaphan_p.,2006-01-02-delgado_r.,42,785,132,332
51144,2006,2006-01-02,5,muller_g.,sabau_r.,21,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-muller_g.,2006-01-02-sabau_r.,76,506,112,398
51145,2006,2006-01-02,5,schuettler_r.,vicente_f.,19,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-schuettler_r.,2006-01-02-vicente_f.,88,463,110,400
51146,2006,2006-01-02,5,phau_b.,reynolds_b.,15,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-phau_b.,2006-01-02-reynolds_b.,87,463,92,442
51147,2006,2006-01-02,5,behrend_t.,daniel_m.,21,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-behrend_t.,2006-01-02-daniel_m.,89,462,94,440
51148,2006,2006-01-02,5,amritraj_p.,mello_r.,25,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-amritraj_p.,2006-01-02-mello_r.,267,127,111,398
51149,2006,2006-01-02,5,ascione_t.,greul_s.,19,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-ascione_t.,2006-01-02-greul_s.,96,431,131,333
51150,2006,2006-01-02,5,berrer_m.,dlouhy_l.,26,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-berrer_m.,2006-01-02-dlouhy_l.,126,356,98,428
51151,2006,2006-01-02,5,bopanna_r.,saulnier_c.,18,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-bopanna_r.,2006-01-02-saulnier_c.,266,128,90,460
51152,2006,2006-01-02,5,gicquel_m.,lee_h.,22,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-gicquel_m.,2006-01-02-lee_h.,123,366,,
51153,2006,2006-01-02,5,gimelstob_j.,waske_a.,16,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-gimelstob_j.,2006-01-02-waske_a.,104,408,122,368
51154,2006,2006-01-02,5,vanek_j.,uppal_v.,16,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-vanek_j.,2006-01-02-uppal_v.,99,424,526,43
51155,2006,2006-01-02,5,vliegen_k.,wang_j.,17,Outdoor,Hard,32,2006-chennai-hard,2006-01-02-vliegen_k.,2006-01-02-wang_j.,93,442,100,423
51156,2006,2006-01-02,1,federer_r.,monfils_g.,22,Outdoor,Hard,32,2006-doha-hard,2006-01-02-federer_r.,2006-01-02-monfils_g.,1,6725,30,979
51157,2006,2006-01-02,2,federer_r.,haas_t.,18,Outdoor,Hard,32,2006-doha-hard,2006-01-02-federer_r.,2006-01-02-haas_t.,1,6725,45,755
51158,2006,2006-01-02,2,monfils_g.,volandri_f.,19,Outdoor,Hard,32,2006-doha-hard,2006-01-02-monfils_g.,2006-01-02-volandri_f.,30,979,38,836
51159,2006,2006-01-02,3,federer_r.,baghdatis_m.,19,Outdoor,Hard,32,2006-doha-hard,2006-01-02-federer_r.,2006-01-02-baghdatis_m.,1,6725,55,634
51160,2006,2006-01-02,3,volandri_f.,davydenko_n.,19,Outdoor,Hard,32,2006-doha-hard,2006-01-02-volandri_f.,2006-01-02-davydenko_n.,38,836,5,2390
51161,2006,2006-01-02,3,monfils_g.,tursunov_d.,21,Outdoor,Hard,32,2006-doha-hard,2006-01-02-monfils_g.,2006-01-02-tursunov_d.,30,979,60,600
51162,2006,2006-01-02,3,haas_t.,youzhny_m.,19,Outdoor,Hard,32,2006-doha-hard,2006-01-02-haas_t.,2006-01-02-youzhny_m.,45,755,43,775
51163,2006,2006-01-02,4,federer_r.,santoro_f.,26,Outdoor,Hard,32,2006-doha-hard,2006-01-02-federer_r.,2006-01-02-santoro_f.,1,6725,58,615
51164,2006,2006-01-02,4,davydenko_n.,vik_r.,19,Outdoor,Hard,32,2006-doha-hard,2006-01-02-davydenko_n.,2006-01-02-vik_r.,5,2390,61,599
51165,2006,2006-01-02,4,monfils_g.,moodie_w.,23,Outdoor,Hard,32,2006-doha-hard,2006-01-02-monfils_g.,2006-01-02-moodie_w.,30,979,63,583
51166,2006,2006-01-02,4,baghdatis_m.,lopez_f.,29,Outdoor,Hard,32,2006-doha-hard,2006-01-02-baghdatis_m.,2006-01-02-lopez_f.,55,634,33,910
51167,2006,2006-01-02,4,haas_t.,henman_t.,21,Outdoor,Hard,32,2006-doha-hard,2006-01-02-haas_t.,2006-01-02-henman_t.,45,755,36,850
51168,2006,2006-01-02,4,tursunov_d.,el aynaoui_y.,21,Outdoor,Hard,32,2006-doha-hard,2006-01-02-tursunov_d.,2006-01-02-elaynaoui_y.,60,600,,
51169,2006,2006-01-02,4,volandri_f.,starace_p.,19,Outdoor,Hard,32,2006-doha-hard,2006-01-02-volandri_f.,2006-01-02-starace_p.,38,836,105,408
51170,2006,2006-01-02,4,youzhny_m.,sanguinetti_d.,17,Outdoor,Hard,32,2006-doha-hard,2006-01-02-youzhny_m.,2006-01-02-sanguinetti_d.,43,775,44,773
51171,2006,2006-01-02,5,federer_r.,minar_i.,16,Outdoor,Hard,32,2006-doha-hard,2006-01-02-federer_r.,2006-01-02-minar_i.,1,6725,73,518
51172,2006,2006-01-02,5,davydenko_n.,rochus_c.,16,Outdoor,Hard,32,2006-doha-hard,2006-01-02-davydenko_n.,2006-01-02-rochus_c.,5,2390,41,795
51173,2006,2006-01-02,5,henman_t.,gasquet_r.,20,Outdoor,Hard,32,2006-doha-hard,2006-01-02-henman_t.,2006-01-02-gasquet_r.,36,850,16,1506
51174,2006,2006-01-02,5,el aynaoui_y.,grosjean_s.,20,Outdoor,Hard,32,2006-doha-hard,2006-01-02-elaynaoui_y.,2006-01-02-grosjean_s.,,,25,1135
51175,2006,2006-01-02,5,starace_p.,andreev_i.,31,Outdoor,Hard,32,2006-doha-hard,2006-01-02-starace_p.,2006-01-02-andreev_i.,105,408,26,1120
51176,2006,2006-01-02,5,sanguinetti_d.,rochus_o.,34,Outdoor,Hard,32,2006-doha-hard,2006-01-02-sanguinetti_d.,2006-01-02-rochus_o.,44,773,27,1110
51177,2006,2006-01-02,5,monfils_g.,zib_t.,22,Outdoor,Hard,32,2006-doha-hard,2006-01-02-monfils_g.,2006-01-02-zib_t.,30,979,59,611
51178,2006,2006-01-02,5,lopez_f.,hanescu_v.,23,Outdoor,Hard,32,2006-doha-hard,2006-01-02-lopez_f.,2006-01-02-hanescu_v.,33,910,35,856
51179,2006,2006-01-02,5,baghdatis_m.,khalfan_s.,14,Outdoor,Hard,32,2006-doha-hard,2006-01-02-baghdatis_m.,2006-01-02-khalfan_s.,55,634,1497,1
51180,2006,2006-01-02,5,haas_t.,wawrinka_s.,32,Outdoor,Hard,32,2006-doha-hard,2006-01-02-haas_t.,2006-01-02-wawrinka_s.,45,755,54,675
51181,2006,2006-01-02,5,moodie_w.,mirnyi_m.,33,Outdoor,Hard,32,2006-doha-hard,2006-01-02-moodie_w.,2006-01-02-mirnyi_m.,63,583,34,905
51182,2006,2006-01-02,5,santoro_f.,marach_o.,24,Outdoor,Hard,32,2006-doha-hard,2006-01-02-santoro_f.,2006-01-02-marach_o.,58,615,127,350
51183,2006,2006-01-02,5,tursunov_d.,tipsarevic_j.,20,Outdoor,Hard,32,2006-doha-hard,2006-01-02-tursunov_d.,2006-01-02-tipsarevic_j.,60,600,140,299
51184,2006,2006-01-02,5,vik_r.,pavel_a.,34,Outdoor,Hard,32,2006-doha-hard,2006-01-02-vik_r.,2006-01-02-pavel_a.,61,599,80,500
51185,2006,2006-01-02,5,volandri_f.,mahut_n.,20,Outdoor,Hard,32,2006-doha-hard,2006-01-02-volandri_f.,2006-01-02-mahut_n.,38,836,135,309
51186,2006,2006-01-02,5,youzhny_m.,bjorkman_j.,26,Outdoor,Hard,32,2006-doha-hard,2006-01-02-youzhny_m.,2006-01-02-bjorkman_j.,43,775,62,588
51187,2006,2006-01-09,1,nieminen_j.,ancic_m.,16,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-nieminen_j.,2006-01-09-ancic_m.,29,1070,21,1360
51188,2006,2006-01-09,2,ancic_m.,wawrinka_s.,16,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-ancic_m.,2006-01-09-wawrinka_s.,21,1360,54,665
51189,2006,2006-01-09,2,nieminen_j.,rochus_o.,36,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-nieminen_j.,2006-01-09-rochus_o.,29,1070,27,1090
51190,2006,2006-01-09,3,ancic_m.,gonzalez_f.,15,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-ancic_m.,2006-01-09-gonzalez_f.,21,1360,11,1790
51191,2006,2006-01-09,3,rochus_o.,ferrer_d.,14,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-rochus_o.,2006-01-09-ferrer_d.,27,1090,14,1620
51192,2006,2006-01-09,3,nieminen_j.,massu_n.,22,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-nieminen_j.,2006-01-09-massu_n.,29,1070,65,565
51193,2006,2006-01-09,3,wawrinka_s.,mayer_f.,19,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-wawrinka_s.,2006-01-09-mayer_f.,54,665,72,519
51194,2006,2006-01-09,4,gonzalez_f.,minar_i.,17,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-gonzalez_f.,2006-01-09-minar_i.,11,1790,73,518
51195,2006,2006-01-09,4,ferrer_d.,sluiter_r.,19,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-ferrer_d.,2006-01-09-sluiter_r.,14,1620,104,407
51196,2006,2006-01-09,4,ancic_m.,murray_a.,22,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-ancic_m.,2006-01-09-murray_a.,21,1360,62,582
51197,2006,2006-01-09,4,rochus_o.,hernych_j.,19,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-rochus_o.,2006-01-09-hernych_j.,27,1090,74,515
51198,2006,2006-01-09,4,nieminen_j.,goldstein_p.,19,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-nieminen_j.,2006-01-09-goldstein_p.,29,1070,66,564
51199,2006,2006-01-09,4,massu_n.,rochus_c.,18,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-massu_n.,2006-01-09-rochus_c.,65,565,44,795
51200,2006,2006-01-09,4,mayer_f.,vik_r.,16,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-mayer_f.,2006-01-09-vik_r.,72,519,57,615
51201,2006,2006-01-09,4,wawrinka_s.,martin_a.,16,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-wawrinka_s.,2006-01-09-martin_a.,54,665,49,711
51202,2006,2006-01-09,5,gonzalez_f.,horna_l.,19,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-gonzalez_f.,2006-01-09-horna_l.,11,1790,85,492
51203,2006,2006-01-09,5,ferrer_d.,luzzi_f.,20,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-ferrer_d.,2006-01-09-luzzi_f.,14,1620,176,219
51204,2006,2006-01-09,5,martin_a.,ginepri_r.,30,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-martin_a.,2006-01-09-ginepri_r.,49,711,16,1520
51205,2006,2006-01-09,5,massu_n.,hrbaty_d.,18,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-massu_n.,2006-01-09-hrbaty_d.,65,565,15,1540
51206,2006,2006-01-09,5,ancic_m.,nielsen_m.,15,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-ancic_m.,2006-01-09-nielsen_m.,21,1360,309,105
51207,2006,2006-01-09,5,rochus_o.,montanes_a.,18,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-rochus_o.,2006-01-09-montanes_a.,27,1090,71,536
51208,2006,2006-01-09,5,nieminen_j.,baghdatis_m.,16,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-nieminen_j.,2006-01-09-baghdatis_m.,29,1070,52,684
51209,2006,2006-01-09,5,vik_r.,lopez_f.,20,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-vik_r.,2006-01-09-lopez_f.,57,615,34,900
51210,2006,2006-01-09,5,goldstein_p.,volandri_f.,10,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-goldstein_p.,2006-01-09-volandri_f.,66,564,32,910
51211,2006,2006-01-09,5,hernych_j.,pavel_a.,15,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-hernych_j.,2006-01-09-pavel_a.,74,515,82,500
51212,2006,2006-01-09,5,mayer_f.,king-turner_d.,16,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-mayer_f.,2006-01-09-king-turner_d.,72,519,,
51213,2006,2006-01-09,5,minar_i.,moodie_w.,3,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-minar_i.,2006-01-09-moodie_w.,73,518,59,603
51214,2006,2006-01-09,5,murray_a.,carlsen_k.,20,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-murray_a.,2006-01-09-carlsen_k.,62,582,61,590
51215,2006,2006-01-09,5,rochus_c.,acasuso_j.,20,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-rochus_c.,2006-01-09-acasuso_j.,44,795,42,803
51216,2006,2006-01-09,5,sluiter_r.,bracciali_d.,19,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-sluiter_r.,2006-01-09-bracciali_d.,104,407,83,498
51217,2006,2006-01-09,5,wawrinka_s.,zib_t.,19,Outdoor,Hard,32,2006-auckland-hard,2006-01-09-wawrinka_s.,2006-01-09-zib_t.,54,665,69,544
51218,2006,2006-01-09,1,blake_j.,andreev_i.,30,Outdoor,Hard,32,2006-sydney-hard,2006-01-09-blake_j.,2006-01-09-andreev_i.,23,1230,26,1120
51219,2006,2006-01-09,2,blake_j.,davydenko_n.,18,Outdoor,Hard,32,2006-sydney-hard,2006-01-09-blake_j.,2006-01-09-davydenko_n.,23,1230,6,2355
51220,2006,2006-01-09,2,andreev_i.,seppi_a.,24,Outdoor,Hard,32,2006-sydney-hard,2006-01-09-andreev_i.,2006-01-09-seppi_a.,26,1120,60,597
51221,2006,2006-01-09,3,seppi_a.,hewitt_l.,34,Outdoor,Hard,32,2006-sydney-hard,2006-01-09-seppi_a.,2006-01-09-hewitt_l.,60,597,4,2465
51222,2006,2006-01-09,3,davydenko_n.,srichaphan_p.,0,Outdoor,Hard,32,2006-sydney-hard,2006-01-09-davydenko_n.,2006-01-09-srichaphan_p.,6,2355,50,705
51223,2006,2006-01-09,3,blake_j.,clement_a.,26,Outdoor,Hard,32,2006-sydney-hard,2006-01-09-blake_j.,2006-01-09-clement_a.,23,1230,68,558
