,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
18858,1996,1996-01-01,1,kafelnikov_y.,black_b.,29,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-kafelnikov_y.,1996-01-01-black_b.,6,0,40,0
18859,1996,1996-01-01,2,kafelnikov_y.,frana_j.,19,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-kafelnikov_y.,1996-01-01-frana_j.,6,0,58,0
18860,1996,1996-01-01,2,black_b.,damm_m.,21,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-black_b.,1996-01-01-damm_m.,40,0,59,0
18861,1996,1996-01-01,3,kafelnikov_y.,rusedski_g.,18,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-kafelnikov_y.,1996-01-01-rusedski_g.,6,0,37,0
18862,1996,1996-01-01,3,black_b.,vacek_d.,36,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-black_b.,1996-01-01-vacek_d.,40,0,27,0
18863,1996,1996-01-01,3,frana_j.,furlan_r.,22,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-frana_j.,1996-01-01-furlan_r.,58,0,29,0
18864,1996,1996-01-01,3,damm_m.,holm_h.,9,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-damm_m.,1996-01-01-holm_h.,59,0,82,0
18865,1996,1996-01-01,4,kafelnikov_y.,woodforde_m.,27,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-kafelnikov_y.,1996-01-01-woodforde_m.,6,0,51,0
18866,1996,1996-01-01,4,vacek_d.,johansson_t.,26,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-vacek_d.,1996-01-01-johansson_t.,27,0,117,0
18867,1996,1996-01-01,4,furlan_r.,kucera_k.,17,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-furlan_r.,1996-01-01-kucera_k.,29,0,79,0
18868,1996,1996-01-01,4,rusedski_g.,draper_s.,17,Outdoor,Hard,32,1996-adelaide-hard,1996-01-01-rusedski_g.,1996-01-01-draper_s.,37,0,87,0
