,year,date,round,winner,loser,games_played,court,surface,tourney_singles_draw,tournoi_unique_id,id_winner,id_loser,w_rank,w_points,l_rank,l_points
76898,2012,2012-01-01,1,murray_a.,dolgopolov_a.,16,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-murray_a.,2012-01-01-dolgopolov_a.,,,,
76899,2012,2012-01-01,2,murray_a.,tomic_b.,17,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-murray_a.,2012-01-01-tomic_b.,,,,
76900,2012,2012-01-01,2,dolgopolov_a.,simon_g.,19,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-dolgopolov_a.,2012-01-01-simon_g.,,,,
76901,2012,2012-01-01,3,murray_a.,baghdatis_m.,16,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-murray_a.,2012-01-01-baghdatis_m.,,,,
76902,2012,2012-01-01,3,simon_g.,giraldo_s.,23,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-simon_g.,2012-01-01-giraldo_s.,,,,
76903,2012,2012-01-01,3,dolgopolov_a.,stepanek_r.,28,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-dolgopolov_a.,2012-01-01-stepanek_r.,,,,
76904,2012,2012-01-01,3,tomic_b.,istomin_d.,22,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-tomic_b.,2012-01-01-istomin_d.,,,,
76905,2012,2012-01-01,4,murray_a.,muller_g.,29,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-murray_a.,2012-01-01-muller_g.,,,,
76906,2012,2012-01-01,4,simon_g.,duckworth_j.,21,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-simon_g.,2012-01-01-duckworth_j.,,,,
76907,2012,2012-01-01,4,dolgopolov_a.,andreev_i.,34,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-dolgopolov_a.,2012-01-01-andreev_i.,,,,
76908,2012,2012-01-01,4,baghdatis_m.,nishikori_k.,19,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-baghdatis_m.,2012-01-01-nishikori_k.,,,,
76909,2012,2012-01-01,4,stepanek_r.,nieminen_j.,21,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-stepanek_r.,2012-01-01-nieminen_j.,,,,
76910,2012,2012-01-01,4,tomic_b.,ito_t.,15,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-tomic_b.,2012-01-01-ito_t.,,,,
76911,2012,2012-01-01,4,giraldo_s.,petzschner_p.,20,Outdoor,Hard,32,2012-brisbane-hard,2012-01-01-giraldo_s.,2012-01-01-petzschner_p.,,,,
