player_name,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,percentage_aces,percentage_df,percentage_1stwon,percentage_bpsaved,percentage_bpobtained,percentage_bpconverted
albano_p.,1967.04.11,1986.0,79.0,178.0,,,0.030595384910977994,0.07900775561795406,0.6741644119139582,0.5043087121212121,0.09297983298027417,0.42052010489510494
luisaparisi_j.,1969.03.11,0.0,66.0,178.0,,,,,,,,
anderson_a.,1969.12.21,0.0,73.0,180.0,,,0.016129032258064516,0.03225806451612903,0.5365853658536586,0.5,0.12162162162162163,0.2222222222222222
anderson_j.,1971.09.29,0.0,78.0,183.0,,,0.024394733831030996,0.05418006697890067,0.6221725212309758,0.5143631170416885,0.0996809875370638,0.547052947052947
aler_i.,1965.11.11,0.0,0.0,0.0,,,0.08108108108108109,0.04504504504504504,0.7424242424242424,0.7857142857142857,0.09523809523809523,0.30000000000000004
ali_z.,1970.01.01,0.0,66.0,180.0,,,0.05333333333333334,0.04,0.6590909090909091,0.5,0.0547945205479452,0.25
aramburu_a.,1969.02.14,0.0,64.0,175.0,,,0.0,0.008620689655172414,0.49731182795698925,0.35,0.06939203354297695,0.325
andersson_k.,,0.0,0.0,0.0,,,,,,,,
apell_j.,1969.11.04,1988.0,73.0,183.0,,,0.06055019289255577,0.035603278295182096,0.6984368456555325,0.5660518371774029,0.08204649774060323,0.41125691768548905
adams_d.,1970.01.05,1989.0,79.0,188.0,,,0.05173548392967966,0.04486946957939319,0.7092026651708432,0.5121071388928533,0.06954781823287275,0.3537981859410431
ardinghi_m.,1971.03.06,1988.0,71.0,175.0,,,0.007019704433497536,0.033721450962830274,0.5423652771066351,0.4392857142857142,0.09058212319663864,0.16727272727272727
alven_j.,1972.01.13,0.0,0.0,0.0,,,,,,,,
arbanas_j.,1970.02.07,0.0,0.0,0.0,,,0.06422018348623854,0.03669724770642202,0.6833333333333333,0.4444444444444444,0.01282051282051282,1.0
arriens_c.,1969.04.11,1991.0,81.0,193.0,,,0.043557246614227406,0.030356824275904658,0.66048287900087,0.5197172976934881,0.08909515697032727,0.4646890575971753
benfelealvarez_e.,1972.11.15,1989.0,85.0,183.0,,,,,,,,
adams_c.,1971.04.23,1990.0,81.0,185.0,,,0.058025683021449066,0.0300803319379182,0.699516222635446,0.5834069880336115,0.07956172375140864,0.39959893095858023
arthurs_w.,1971.03.18,1990.0,80.0,191.0,,,0.17738260985139098,0.06097572412827028,0.8021389483671505,0.6713090870440289,0.056102561545075744,0.3152773152773154
alami_k.,1973.05.24,1990.0,85.0,185.0,,,0.05876210587375752,0.036542037293356526,0.7049093231601687,0.565348093015974,0.08875776038928379,0.4092828733538693
alvarez_r.,1971.02.23,0.0,0.0,0.0,,,0.0,0.058823529411764705,0.4666666666666667,0.4444444444444444,0.06557377049180328,0.75
